variant,canonical,score
academisch ziekenhuis leiden a,academisch ziekenhuis leiden,96.55172413793103
academisch ziekenhuis leiden h,academisch ziekenhuis leiden,96.55172413793103
adiutide pharmaceuticals gmbh,adiu tide pharmaceuticals gmbh,98.30508474576271
baeuerle patrick a,baeuerle patrick,94.11764705882352
bahrami sherwin,bahrami shervin,93.33333333333333
belgian volition srl,belgian volition sprl,97.5609756097561
biocartis nv,biocartis n v,96.0
brummelkamp thijn r,brummelkamp thijn,94.44444444444444
bullerdiek jorn,bullerdiek joern,96.7741935483871
cabezon silva teresa elisa vir,cabezon siliva teresa elisa vi,96.66666666666667
cemm forschungszentrum fuer molekulare medizin gmbh,cemm - forschungzentrum fuer molekulare medizin gmbh,97.0873786407767
centre hospitalier univ de lille,centre hospitalier et univ de lille,95.52238805970148
centre national de la recherche scient onrs,centre national de la recherche scient -cnrs-,95.45454545454545
centro de neurociencias e biologia celular,centro de neurociencias e biologia cellular,98.82352941176471
chemotherapeutisches forschungsinstitut georg-speyer-haus,chemotherapeutisches forschungsinstitut georg speyer haus,96.49122807017544
commissariat l energie atomique et aux energies alternatives,commissariat a ienergie atomique et aux energies alternatives,97.52066115702479
consorcio centro de investig biomedica en red m p,consorcio centro de investig biomedica en red,95.74468085106383
cosset francois-loic,cosset francois loic,95.0
creabillis therapeutic s p a,creabilis therapeutic spa,94.33962264150944
ct nat de la recerche scient cnrs,ct nat de la pecherche scient cnrs,95.52238805970148
de magalhaes simoes sergio paulo,de magalhaes simoes sergio pau,96.7741935483871
dejong gary,de jong gary,95.65217391304348
deutsches krebsforschungszentrum stiftung des oeffentlechen rechts,deutsches krebs forschungszentrum stiftung des offentlichen rechts,96.96969696969697
deutsches krebsforschungszentrum stiftung des oeffentlichen rechts,deutsches krebs forschungszentrum stiftung des offentlichen rechts,98.48484848484848
dkfz deutches krebsforschungszentrum stiftung des oeffentlichen rechts,deutsches krebs forschungszentrum stiftung des offentlichen rechts,94.11764705882352
ecole normale superieure lyon,ecole norm superieure lyon,94.54545454545455
egelrud torbjorn,egelrud torbjoern,96.96969696969697
el-andaloussi samir,el andaloussi samir,94.73684210526316
evaxion biotech as,evaxion biotech aps,97.2972972972973
fiedler alexander,fidler alexander,96.96969696969697
friedrich miescher institute for biomedical res,friedrich miescher inst for biomedical res,94.3820224719101
fundacio inst dinvestigacio biomedica de bellvitge idibell,fundacio inst d investigacio biomedica de bellvitge idibell,99.14529914529915
fundacio institut d investig biomedica de bellvitge idibell,fundacio inst d investigacio biomedica de bellvitge idibell,93.22033898305084
fundacio privada inst dinvestigacio oncològica de vall hebron fpiiovh,fundacio privada inst dinvestigacio oncològica de vall hebron,93.84615384615384
fundacion ct nac investigaciones oncologicas carlos iii,fundacion centro nac de investigaciones oncologicas carlos iii,94.01709401709401
fundacion del sector publico estatal centro nac de investigaciones oncologicas carlos iii f s p cnio,fundacion del sector publico estatal centro nac de investigaciones oncologicas carlos iii f s,96.37305699481865
fundació inst de recerca biomèdica (irb barcelona),fundacio inst de recerca biomedica irb barcelona,93.87755102040816
gencell sas,gencell sa,95.23809523809523
gommans willemjin maria,gommans willemijn maria,95.65217391304348
guenzburg walter h,guenzburg walter,94.11764705882352
hansen jens bo,hansen jens b,96.2962962962963
havenga menzo jans emko,havenga menzo jans emco,95.65217391304348
hedtjarn maj,hedtjaern maj,96.0
helmholtz zentrum muenchen deutsches forschungszentrum fuer gesundheilt und umwelt gmbh,helmholtz zentrum m nchen deutsches forschungszentrum f r gesundheit und umwelt gmbh,95.90643274853801
helmholtz zentrum muenchen deutsches forschungszentrum gesundheit umwelt gmbh,helmholtz zentrum m nchen deutsches forschungszentrum f r gesundheit und umwelt gmbh,93.16770186335404
helmholtz zentrum muenchen—deutsches forschungszentrum fuer gesundheit und umwelt gmbh,helmholtz zentrum m nchen deutsches forschungszentrum f r gesundheit und umwelt gmbh,95.29411764705881
helmholtz zentrum münchen-deutsches forschungszentrum für gesundheit und umwelt (gmbh),helmholtz zentrum m nchen deutsches forschungszentrum f r gesundheit und umwelt gmbh,95.29411764705881
hog anja molhart,hoeg anja moelhart,94.11764705882352
horer markus,hoerer markus,96.0
inserm (institut nat de la santé et de la rech médicale),inserm (institut naational de la santé et de la rech médicale),94.91525423728814
inserm (institut national de la sante et de la rech medicale),inserm (institut naational de la santé et de la rech médicale),95.9349593495935
inserm (institut national de la santé et de la rech médicale),inserm (institut naational de la santé et de la rech médicale),99.1869918699187
inserm institute national de la sante et de la rech medicale,inserm (institut naational de la santé et de la rech médicale),93.44262295081968
inst de cancerologie de louest,ico inst de cancerologie de louest,93.75
inst investigacions biomèdiques august pi i sunyer idibaps,inst d’investigacions biomèdiques august pi i sunyer (idibaps),96.66666666666667
inst jean paoli irène calmettes,inst jean paoli irene calmettes,96.7741935483871
inst nat de la santé et de la rech médicale (inserm),inst nat de la sante et de la rech medicale (inserm),96.15384615384616
institut national de la sante et de la rech medicale in serm,institut national de la sante et de la rech medicale (inserm),97.52066115702479
institut national de la santé et de la rech médicale (inserm),institut national de la sante et de la rech medicale (inserm),96.72131147540983
int centre for genetic engineering and biotechnology icgeb,int centre for genetic engineering and biotechnology,94.54545454545455
jahn-hofmann kerstin,jahn-hoffmann kerstin,97.5609756097561
karlsson asa,karlsson aasa,96.0
kaufmann jorg,kaufmann joerg,96.2962962962963
koninlijke nederlandse akademie van wetenschappen,koninklijke nederlandse akademie van wetenschappen,98.98989898989899
lamonica nicola,la monica nicola,96.7741935483871
leturcq didier j,leturcq didier,93.33333333333333
lipford grayson b,lipford grayson,93.75
luxembourg inst of health lih,luxembourg inst of health (lih),96.66666666666667
medizinische hochshule hannove,medizinische hochschule hannover,96.7741935483871
museum nat d historie naturell,museum nat d histoire naturell,96.66666666666667
museum nat dhistoire naturelle,museum nat d histoire naturell,96.66666666666667
orionis biosciences nv,orionis biosciences bv,95.45454545454545
orum henrik,oerum henrik,95.65217391304348
ose immunotherapeutics sa,ose immunotherapeutics,93.61702127659575
pesonen sari,personen sari,96.0
petersen mikkel wandahl,pedersen mikkel wandahl,95.65217391304348
polyplus transfection sa,polyplus transfection,93.33333333333333
regula joerg-thomas,regula joerg thomas,94.73684210526316
rózga piotr kamil,rozga piotr kamil,94.11764705882352
schlingensiepen georg-f,schlingensiepen georg f,95.65217391304348
schlingensiepen karl-hermann,schlingensiepen karl hermann,96.42857142857143
schlingensiepen reimar,schlinensiepen reimar,97.67441860465115
schlingensiepen relmar,schlinensiepen reimar,93.02325581395348
siepis evgenios,siepi evgenios,96.55172413793103
spankuch-schmitt birgit,spaenkuch-schmitt birgit,97.87234042553192
st europeo di oncologia s r l,ieo st europeo di oncologia s r l,93.5483870967742
stahle mona,staahle mona,95.65217391304348
stein pascal andré,stein pascal andre,94.44444444444444
sylvestre nathalie,silvestre nathalie,94.44444444444444
the european molecular biology laboratory,european molecular biology laboratory,94.87179487179486
the provost fellows found scholars the other members of board of the college of the holy undiv t,the provost fellows found scholars the other members of board of the college of holy and undiv tri,94.84536082474226
thess andreas,thes andreas,96.0
thrue charlotte albaek,thrue charlotte albaeck,97.77777777777777
tron translationale onkologie an der univ der johannes gutenberg univ mainz,tron translationale onkologie an der univ der johannes gutenberg univ mains,98.66666666666667
tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnutzige gmbh,tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige gmbh,99.47089947089947
tron – translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige,tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige gmbh,96.2566844919786
tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz ge,03 tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz,96.51162790697676
ucb biopharma srl,ucb biopharma sprl,97.14285714285714
umc utrecht holding bv,umc utrecht holding b v,97.77777777777777
univ degli studi torino,univ degli studi di torino,93.87755102040816
univ degli studi trieste,univ degli studi di trieste,94.11764705882352
univ devry val dessone,univ d'evry val d'essonne,93.61702127659575
univ devry val dessonne,univ d'evry val d'essonne,95.83333333333334
univ ghent,univ gent,94.73684210526316
univ montpellier 1,univ montpellier,94.11764705882352
univ regensburg,uni regensburg,96.55172413793103
universitätsklinikum jena,universitaetsklinikum jena,94.11764705882352
veterinaermedizinische uni wien,veterinaermedizinische uni wie,98.36065573770492
veterinaermedizinische univ wien,veterinaermedizinische uni wie,96.7741935483871
viratherapeutics gmbh,vira therapeutic gmbh,95.23809523809523
vollmer jorg,vollmer joerg,96.0
wadell goran,wadell goeran,96.0
weber guenther,webber guenther,96.55172413793103
yang xiaodong,yang xiao-dong,96.2962962962963
yla-herttuala seppo,yla herttuala seppo,94.73684210526316
zacouto fred,zaccouto fred,96.0
|nserm institut national de la sante et de la rech medicale,inserm institut national de la sante et la rech medicale,95.65217391304348
